LOCATION,CSA,emp_change,emp_2017,emp_2018,emp_2019,emp_2020,emp_2021
"Albany-Schenectady, NY CSA",104,-8.06310254163015,11142,11518,10925,10269,9441
"Albuquerque-Santa Fe-Las Vegas, NM CSA",106,-13.398649543227856,9069,8686,7819,7553,6541
"Amarillo-Borger, TX CSA",108,-10.46979865771812,1516,1574,1484,1490,1334
"Appleton-Oshkosh-Neenah, WI CSA",118,-17.59192501802451,2961,3005,2922,2774,2286
"Asheville-Brevard, NC CSA",120,-18.492294877134526,2381,2256,2217,2401,1957
"Atlanta--Athens-Clarke County--Sandy Springs, GA CSA",122,-1.7617101912713922,112060,117729,102606,101322,99537
"Bend-Redmond-Prineville, OR CSA",140,-10.554803788903925,2390,2384,2376,2217,1983
"Birmingham-Hoover-Talladega, AL CSA",142,-17.136013935259108,14760,15152,14296,13778,11417
"Bloomington-Bedford, IN CSA",144,-17.728168089297437,1314,1590,1493,1523,1253
"Boise City-Mountain Home-Ontario, ID-OR CSA",147,-1.4309607879576287,8405,7843,7774,10762,10608
"Bloomington-Pontiac, IL CSA",145,-16.304347826086957,889,995,897,828,693
"Bloomsburg-Berwick-Sunbury, PA CSA",146,-16.53992395437262,1021,1051,1051,1052,878
"Boston-Worcester-Providence, MA-RI-NH-CT CSA",148,-5.269885455797868,138803,136031,137005,140819,133398
"Bowling Green-Glasgow, KY CSA",150,-15.789473684210526,893,847,887,798,672
"Brownsville-Harlingen-Raymondville, TX CSA",154,-28.693693693693696,2610,2514,2129,2220,1583
"Buffalo-Cheektowaga, NY CSA",160,-10.36798656779068,7974,7970,7337,7147,6406
"Cape Coral-Fort Myers-Naples, FL CSA",162,-21.525565800502932,6232,6121,6284,5965,4681
"Cape Girardeau-Sikeston, MO-IL CSA",164,-16.475972540045767,1201,1300,1350,1311,1095
"Cedar Rapids-Iowa City, IA CSA",168,17.23233569885838,7162,7145,7234,6482,7599
"Charleston-Huntington-Ashland, WV-OH-KY CSA",170,-7.784773898111047,4337,4162,3741,3494,3222
"Chicago-Naperville, IL-IN-WI CSA",176,-12.52925126023216,108299,111566,112893,108115,94569
"Charlotte-Concord, NC-SC CSA",172,-14.672474991932882,27753,31101,30997,30990,26443
